#### GREECE ####
AA0 = countries/greece/achaea.txt
AA1 = countries/greece/argos.txt
AA2 = countries/greece/athens.txt
AA3 = countries/greece/crete.txt
AA4 = countries/greece/elis.txt
AA5 = countries/greece/lacedaemon.txt
AA6 = countries/greece/messenia.txt
AA7 = countries/greece/mycenae.txt
AA8 = countries/greece/pylos.txt
AA9 = countries/greece/salamis.txt
AB0 = countries/greece/thebes.txt
AB1 = countries/greece/thessaly.txt
AB2 = countries/greece/thrace.txt
AB3 = countries/greece/boeotia.txt
AB4 = countries/greece/epirus.txt
AB5 = countries/greece/corinth.txt
AB6 = countries/greece/sicyon.txt
AB7 = countries/greece/phocis.txt
AB8 = countries/greece/epidaurus.txt
AB9 = countries/greece/phaea.txt
AC0 = countries/greece/phthia.txt
AC1 = countries/greece/pyraechmes.txt
AC2 = countries/greece/pleuron.txt
AC3 = countries/greece/hellas.txt
AC4 = countries/greece/argolis.txt
AC5 = countries/greece/pelasgia.txt
AC6 = countries/greece/pyrrha.txt
AC7 = countries/greece/tricca.txt
AC8 = countries/greece/zacynthus.txt
AC9 = countries/greece/methone.txt
AD0 = countries/greece/tria.txt
AD1 = countries/greece/aege.txt
AD2 = countries/greece/eurymachus.txt
AD3 = countries/greece/panopeus.txt
AD4 = countries/greece/laconia.txt
AD5 = countries/greece/calydon.txt
AD6 = countries/greece/castor.txt
AD7 = countries/greece/troy.txt
AD8 = countries/greece/phaestus.txt
AD9 = countries/greece/lycomedes.txt
AE0 = countries/greece/colluthus.txt
AE1 = countries/greece/amphion.txt
AE2 = countries/greece/athamanes.txt
AE3 = countries/greece/pylos2.txt
AE4 = countries/greece/dardanus.txt
AE5 = countries/greece/nestor.txt
AE6 = countries/greece/tlepolemus.txt
AE7 = countries/greece/miletus.txt
AE8 = countries/greece/izmir.txt
AE9 = countries/greece/lemnos.txt
AF0 = countries/greece/samos.txt
AF1 = countries/greece/syros.txt
AF2 = countries/greece/themiscyra.txt
AF3 = countries/greece/tityrus.txt
AF4 = countries/greece/samothrace.txt
AF5 = countries/greece/amphissa.txt
AF6 = countries/greece/pharsalus.txt
AF7 = countries/greece/daphnus.txt
AF8 = countries/greece/larissa.txt
AF9 = countries/greece/lemnos2.txt
#### EGPYT ####
BB1 = countries/egypt/libya.txt
BB1 = countries/egypt/sais.txt
BB2 =countries/ egypt/tanis.txt
BB3 = countries/egypt/thebes.txt
BB4 = countries/egypt/memphis.txt
BB5 = countries/egypt/leontopolis.txt
BB6 = countries/egypt/elephantine.txt
BB7 = countries/egypt/bubastis.txt
BB8 = countries/egypt/heliopolis.txt
BB9 = countries/egypt/herakleopolis.txt
BC0 = countries/egypt/per-ramesses.txt
BC1 = countries/egypt/hermopolis.txt
BC2 = countries/egypt/akoris.txt
BC3 = countries/egypt/horus.txt
BC4 = countries/egypt/mendes.txt
BC5 = countries/egypt/xois.txt
BC6 = countries/egypt/sebennytos.txt
BC7 = countries/egypt/athribis.txt
BC8 = countries/egypt/dep.txt
BC9 = countries/egypt/meshwesh.txt
#### Canaan ####
CC1 = countries/canaan/judah.txt
CC2 = countries/canaan/ephraim.txt
CC3 = countries/canaan/manasseh.txt
CC4 = countries/canaan/benjamin.txt
CC5 = countries/canaan/dan.txt
CC6 = countries/canaan/naphtali.txt
CC7 = countries/canaan/asher.txt
CC8 = countries/canaan/zebulun.txt
CC9 = countries/canaan/reuben.txt
CD0 = countries/canaan/simeon.txt
CD1 = countries/canaan/gad.txt
CD2 = countries/canaan/issachar.txt
CD3 = countries/canaan/zidon.txt
CD4 = countries/canaan/tyre.txt
CD5 = countries/canaan/philistia.txt
CD6 = countries/canaan/ammon.txt
CD7 = countries/canaan/moab.txt
CD8 = countries/canaan/edom.txt
CD9 = countries/canaan/amalek.txt
#### Syria ####
DD1 = countries/syria/damascus.txt
DD2 = countries/syria/hama.txt
DD3 = countries/syria/aleppo.txt
DD4 = countries/syria/ugarit.txt
DD5 = countries/syria/aram-damascus.txt
DD6 = countries/syria/aram-beth-rehob.txt
DD7 = countries/syria/aram-zobah.txt
DD8 = countries/syria/aram-naharaim.txt
DD9 = countries/syria/aram-beth-maacah.txt
DE0 = countries/syria/aram-aram.txt
DE1 = countries/syria/aram-beth-rehob2.txt
DE2 = countries/syria/aram-zobah2.txt
DE3 = countries/syria/amurru.txt
DE4 = countries/syria/hittites.txt
DE5 = countries/syria/aram.txt
DE6 = countries/syria/qadesh.txt
DE7 = countries/syria/qedar.txt
DE8 = countries/syria/medeba.txt
DE9 = countries/syria/geshur.txt
#### Asia Minor ####
EE1 = countries/anatolia/hatti.txt
EE2 = countries/anatolia/luwian-arthasa.txt
